pclass,age,sex,survived
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,1
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,male,0
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,1
1st,adult,female,0
1st,adult,female,0
1st,adult,female,0
1st,adult,female,0
1st,child,male,1
1st,child,male,1
1st,child,male,1
1st,child,male,1
1st,child,male,1
1st,child,female,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,1
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,male,0
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,1
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,adult,female,0
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,male,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
2nd,child,female,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,1
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,male,0
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
3rd,adult,female,1
